mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-1b,513,step512,1,1,1011781632,16,0.5988495610015706,2.761232078217004,0.0068959731159379326,0.11933160028434368,0.15875452340723153
EleutherAI/pythia-1b,513,step512,1,2,1011781632,16,0.606572072478525,2.7567716176553065,0.00667069227108731,0.11757017803509846,0.15782081099736078
EleutherAI/pythia-1b,513,step512,1,3,1011781632,16,0.7532462646714857,2.888184011208934,0.007128296528276134,0.12434402687682042,0.16515189252077814
EleutherAI/pythia-1b,513,step512,1,4,1011781632,16,0.6573459852557929,2.820640382179785,0.006788624725159062,0.1202471151209629,0.16366002710351532
EleutherAI/pythia-1b,513,step512,1,5,1011781632,16,0.711273030438375,2.8527608076466606,0.007019255460614886,0.12259608187765864,0.16515681270633012
EleutherAI/pythia-1b,513,step512,1,6,1011781632,16,0.5081034030475717,2.6793041186144224,0.006663367216794741,0.1155498076800827,0.1554741801766751
EleutherAI/pythia-1b,513,step512,1,7,1011781632,16,0.518039817693483,2.5927052294093142,0.006453841190488361,0.11204833200050363,0.15440261328743918
EleutherAI/pythia-1b,513,step512,1,8,1011781632,16,0.6648974688165896,2.7784922356951944,0.006724836840687132,0.1184268038126978,0.1626050947262002
EleutherAI/pythia-1b,513,step512,2,1,1011781632,16,1.2784761247388938,5.8228629218391434,0.011815873480117148,0.22854603058448777,0.09025568779356571
EleutherAI/pythia-1b,513,step512,2,2,1011781632,16,0.7444108496566422,3.002992045436479,0.007316331209299064,0.12895352433662152,0.12110059444062608
EleutherAI/pythia-1b,513,step512,2,3,1011781632,16,0.8901103664803157,3.9245957336223714,0.008905803288691906,0.1625597677543177,0.0961645264262417
EleutherAI/pythia-1b,513,step512,2,4,1011781632,16,1.0582647751025374,6.315722161264615,0.012466497735175802,0.2445568829193129,0.09678393067070488
EleutherAI/pythia-1b,513,step512,2,5,1011781632,16,1.1206892441405238,6.704376271315656,0.013196666966270242,0.2595519769388634,0.0922739211604133
EleutherAI/pythia-1b,513,step512,2,6,1011781632,16,0.9807605812149569,3.967640963855415,0.008919761591032692,0.16295151190983279,0.10217528341634491
EleutherAI/pythia-1b,513,step512,2,7,1011781632,16,1.08550649753105,6.619691011806194,0.013043906733015689,0.25651957537676834,0.09197405864157382
EleutherAI/pythia-1b,513,step512,2,8,1011781632,16,0.6920518005867659,2.849088948662303,0.006973260610657136,0.1222590843254739,0.11883647214654862
EleutherAI/pythia-1b,513,step512,3,1,1011781632,16,0.8360279596691966,2.9511957112228058,0.007065044849627446,0.12517165322158783,0.15690742298546762
EleutherAI/pythia-1b,513,step512,3,2,1011781632,16,1.2177631773569961,4.84937189433657,0.010021972396260152,0.19157517362419546,0.14853873613707202
EleutherAI/pythia-1b,513,step512,3,3,1011781632,16,0.7592421211344244,2.9764280973054134,0.007051356330666535,0.1253016780189297,0.1645941196132574
EleutherAI/pythia-1b,513,step512,3,4,1011781632,16,1.3123902403812564,7.507162475034636,0.014478835024091023,0.2884621424404708,0.10155133285500978
EleutherAI/pythia-1b,513,step512,3,5,1011781632,16,0.7589951306472615,3.3362415120420272,0.007661930926863057,0.13903143404012502,0.12968308373715154
EleutherAI/pythia-1b,513,step512,3,6,1011781632,16,0.8874693655975032,2.8665991166014897,0.007068913154614437,0.12317481214689596,0.16174743395556018
EleutherAI/pythia-1b,513,step512,3,7,1011781632,16,0.8447509566782321,2.937697062442136,0.0069270644113558376,0.12361190860179268,0.18061971461942958
EleutherAI/pythia-1b,513,step512,3,8,1011781632,16,0.7441843312212654,2.470011474037843,0.006288912602578407,0.1079441276085269,0.16986640880594736
EleutherAI/pythia-1b,513,step512,4,1,1011781632,16,0.8600900243900408,2.912120494060997,0.0068137623505267406,0.12203033845144524,0.2174955554468719
EleutherAI/pythia-1b,513,step512,4,2,1011781632,16,0.9383884374036099,3.0066909314383556,0.007129788584273604,0.12700043365851532,0.1895358181214547
EleutherAI/pythia-1b,513,step512,4,3,1011781632,16,0.8801991325473216,2.974028633797221,0.007008105188186367,0.12484820882367476,0.15749691959817305
EleutherAI/pythia-1b,513,step512,4,4,1011781632,16,1.044389622653321,3.652136256305087,0.008153147945542566,0.14957773038284014,0.14481861257293557
EleutherAI/pythia-1b,513,step512,4,5,1011781632,16,0.9179497757943116,3.0594135562405973,0.007048211215363634,0.12741922686721108,0.18441486818710331
EleutherAI/pythia-1b,513,step512,4,6,1011781632,16,2.8581865645850235,13.742185069299968,0.02416024463852497,0.507175987099742,0.09340584732021562
EleutherAI/pythia-1b,513,step512,4,7,1011781632,16,1.7967801807039467,8.083628491133844,0.014843555001130652,0.30349360081974086,0.13149168997074476
EleutherAI/pythia-1b,513,step512,4,8,1011781632,16,2.147495356950389,10.962936457847228,0.019598088978799135,0.4084122436674866,0.10841516724454833
EleutherAI/pythia-1b,513,step512,5,1,1011781632,16,0.6531057518952246,3.1626166971316874,0.007270066089122934,0.13165913805835414,0.13405934062873096
EleutherAI/pythia-1b,513,step512,5,2,1011781632,16,0.6327973810248048,2.569140932425743,0.006212349602602199,0.10974993701050943,0.17616114626406457
EleutherAI/pythia-1b,513,step512,5,3,1011781632,16,0.7414635376039194,3.024514347810236,0.007192634043242243,0.12804804293735245,0.1767657728999987
EleutherAI/pythia-1b,513,step512,5,4,1011781632,16,0.5559029023636064,2.3094103229176492,0.005825303303306104,0.10047055087849359,0.15048019891722242
